id,person id,first name,last name,email,country,affiliation,Web page,role,track_id,track name
105,53,Marcin,Kulawiak,,Poland,Gdansk University of Technology,,PC member,4,T4
106,142,Casper,Lassenius,,Finland,Aalto University,http://lassenius.info,PC member,3,T3
107,143,Niklas,Lavesson,,Sweden,Blekinge Institute of Technology,,PC member,4,T4
108,54,Przemysław,Lech,,Poland,University of Gdańsk,,PC member,7,T7
109,144,Maria,Lencastre,,Brazil,Universidade de Pernambuco,http://www.ecomp.poli.br,PC member,2,T2
110,145,Florin,Leon,,Romania,"""Gheorghe Asachi"" Technical University of Iasi",http://florinleon.byethost24.com,PC member,4,T4
111,146,Rafal,Leszczyna,,Poland,Gdansk University of Technology,,PC member,5,T5
112,147,Xiaozhou,Li,,Finland,University of Oulu,,PC member,1,T1
113,148,Sherlock,Licorish,,New Zealand,University of Otago,http://infosci.otago.ac.nz/,PC member,6,T6
114,11,Audrius,Lopata,,Lithuania,Kaunas University of Technology,,PC member,7,T7
115,3,Ivan,Luković,,Serbia,"University of Belgrade, Faculty of Organizational Sciences",https://fon.bg.ac.rs/nastavnici/ivan-lukovic/,track chair,4,T4
116,55,Paweł,Lustofin,,Poland,Krakow University of Economics,,PC member,7,T7
117,56,Viljan,Mahnič,,Slovenia,University of Ljubljana,http://www.fri.uni-lj.si/si/viljan-mahnic/default.html,PC member,3,T3
118,229,Tim A.,Majchrzak,,Norway,,,PC member,5,T5
119,12,Henrique,Mamede,,Portugal,,,PC member,7,T7
120,13,Henrique-São,Mamede,,,,,PC member,7,T7
121,149,George,Mangalaraj,,United States,Western Illinois University,http://www.wiu.edu/users/gm106/,PC member,3,T3
122,57,Katerina,Mangaroska,,Norway,University of South-Eastern Norway,,PC member,7,T7
123,4,Bartosz,Marcinkowski,,Poland,University of Gdansk,http://kie.wzr.pl,superchair,,
124,150,Andreas,Martin,,Switzerland,FHNW University of Applied Sciences Northwestern Switzerland,https://andreasmartin.ch,PC member,2,T2
125,151,Sanda,Martincic-Ipsic,,Croatia,University of Rijeka,,PC member,4,T4
126,152,Christoph,Matthies,,Germany,"Hasso Plattner Institute, University of Potsdam",http://www.christophmatthies.de,PC member,3,T3
127,230,Raimundas,Matulevicius,,Estonia,University of Tartu,,PC member,1,T1
128,153,Manuel,Mazzara,,Russia,Innopolis University,,PC member,4,T4
129,5,Jacek,Maślankowski,,Poland,University of Gdańsk,http://maslankowski.pl,track chair,5,T5
130,5,Jacek,Maślankowski,,Poland,University of Gdańsk,http://maslankowski.pl,PC member,3,T3
131,154,Paulo,Melo,,Portugal,"Faculty of Economics, University of Coimbra",,PC member,1,T1
132,58,Jakub,Miler,,Poland,Gdansk University of Technology,http://iag.pg.gda.pl,PC member,3,T3
133,155,Gordana,Milosavljevic,,Serbia,Faculty of Technical Sciences,,PC member,6,T6
134,156,Pavle,Milosevic,,Serbia,"University of Belgrade, Faculty of Organizational Sciences",,PC member,4,T4
135,59,Miguel,Mira da Silva,,Portugal,University of Lisbon,,track chair,2,T2
136,59,Miguel,Mira da Silva,,Portugal,Instituto Superior Técnico,,PC member,3,T3
137,60,Alok,Mishra,,Norway,Norwegian University of Science and Technology,http://www.atilim.edu.tr/~amishra/,PC member,3,T3
138,157,Sanjay,Misra,,Norway,Institute For Energy Technology,,PC member,3,T3
139,158,Durga Prasad,Mohapatra,,India,"NIT, Rourkela",http://www.nitrkl.ac.in,PC member,3,T3
140,159,Miguel Ehécatl,Morales Trujillo,,New Zealand,University of Canterbury,,PC member,3,T3
141,159,Miguel Ehécatl,Morales Trujillo,,New Zealand,University of Canterbury,,PC member,6,T6
142,160,Mikolaj,Morzy,,Poland,Poznan University of Technology,http://www.cs.put.poznan.pl/mmorzy,PC member,4,T4
143,161,Michael,Mrissa,,Slovenia,,https://osebje.famnit.upr.si/~michael.mrissa/doku.php,PC member,4,T4
144,162,Waseem,Muhammad,,Finland,University of Jyväskylä,,PC member,3,T3
145,61,Karolina,Muszyńska,,Poland,University of Szczecin,,PC member,3,T3
146,62,Michael,Neumann,,Germany,Hochschule Hannover,https://www.linkedin.com/in/michael-neumann-8060131b6/,PC member,3,T3
147,63,Yen Ying,Ng,,Poland,Nicolaus Copernicus University,,PC member,3,T3
148,231,Ngoc Thanh,Nguyen,,Poland,,http://www.staff-ksi.pwr.edu.pl/nguyen/,PC member,5,T5
149,14,Ovidiu,Noran,,Australia,Griffith University,https://www.researchgate.net/profile/Ovidiu_Noran,PC member,7,T7
150,163,Jacob,Nørbjerg,,Denmark,Copenhagen Business School,https://www.cbs.dk/en/research/departments-and-centres/department-of-digitalization/staff/jnodigi,PC member,6,T6
151,164,Nikola,Obrenović,,Serbia,"BioSense Institute, University of Novi Sad",https://biosens.rs/en/employees/nikola-obrenovic-2,PC member,4,T4
152,165,Nikolaus,Obwegeser,,Switzerland,Bern University of Applied Sciences,https://www.bfh.ch/de/ueber-die-bfh/personen/m4ujq5h3zs5m/,PC member,3,T3
153,64,Mirosław,Ochodek,,Poland,Poznan University of Technology,http://www.cs.put.poznan.pl/mochodek,PC member,3,T3
154,166,Yousra,Odeh,,Jordan,Applied Science University,http://web.asu.edu.jo/asumember/en/default.aspx?MenuId=1&MemberId=4051,PC member,2,T2
155,167,Piotr,Oprocha,,Poland,AGH University of Science and Technology,http://home.agh.edu.pl/~oprocha/,PC member,4,T4
156,232,Mieczysław,Owoc,,Poland,,http://www.ue.wroc.pl,PC member,5,T5
157,65,Necmettin,Ozkan,,Turkey,Kuveyt Turk Participation Bank,,PC member,3,T3
158,66,Grażyna,Paliwoda-Pękosz,,Poland,"Krakow University of Economics, Department of Informatics",,PC member,7,T7
159,67,Malgorzata,Pankowska,,Poland,University of Economics,http://web.ae.katowice.pl/pank,PC member,5,T5
160,168,Jason,Papathanasiou,,Greece,University of Macedonia,,PC member,4,T4
161,169,Maria,Papoutsoglou,,Cyprus,University of Cyprus,,PC member,6,T6
162,170,Luka,Pavlic,,Slovenia,University of Maribor,,PC member,6,T6
163,68,Rui Humberto,Pereira,,Portugal,ISCAP/IPP,,PC member,3,T3
164,171,Ioan,Petri,,United Kingdom,Cardiff University,https://sites.google.com/site/ioanpetriv2/,PC member,4,T4
165,172,Andrija,Petrović,,Serbia,,,PC member,4,T4
166,173,Andrea,Pinna,,Italy,Università di Cagliari,,PC member,5,T5
167,233,Nava,Pliskin,,Israel,,,PC member,5,T5
168,69,Geert,Poels,,Belgium,Ghent University,,track chair,2,T2
169,70,Matthias,Pohl,,Germany,Otto-von-Guericke-Universität Magdeburg,http://www.mrcc.ovgu.de/mrcc/team/matthias-pohl/,PC member,3,T3
170,174,Ana,Poledica,,Serbia,"Faculty of Organizational Sciences, University of Belgrade",,PC member,4,T4
171,71,Aneta,Poniszewska-Maranda,,Poland,"Institute of Information Technology, Lodz University of Technology",,PC member,3,T3
172,175,Małgorzata,Porada Rochoń,,Poland,University of Szczecin,,PC member,6,T6
173,72,Alexander,Poth,,Germany,Volkswagen AG,,PC member,3,T3
174,73,Henderik A.,Proper,,Austria,"TU Wien, Vienna, Austria",http://www.erikproper.eu,PC member,7,T7
175,6,Adam,Przybyłek,,Poland,Gdansk University of Technology,https://github.com/przybylek,superchair,,
176,6,Adam,Przybyłek,,Poland,Gdansk University of Technology,https://github.com/przybylek,track chair,3,T3
177,176,Michal,Przybylek,,Poland,Warsaw University,,PC member,3,T3
178,177,Sandro,Radovanović,,Serbia,"University of Belgrade, Faculty of Organizational Sciences",,PC member,4,T4
179,74,Raman,Ramsin,,Iran,Sharif University of Technology,http://sharif.edu/~ramsin/,PC member,3,T3
180,234,Ewa,Ratajczak-Ropel,,Poland,Gdynia Maritime University,,PC member,5,T5
181,178,Vítor,Ribeiro,,Portugal,University of Coimbra,,PC member,1,T1
182,75,Andreas,Riel,,France,EMIRAcle c/o Grenoble Institute of Technology,http://www.emiracle.eu,PC member,3,T3
183,76,Sonja,Ristic,,Serbia,"University of Novi Sad, Faculty of Technical Sciences",,PC member,3,T3
184,179,Mariia,Rizun,,Poland,University of Economics in Katowice,,PC member,6,T6
185,180,Nina,Rizun,,Poland,Gdańsk University of Technology,,PC member,4,T4
186,77,Alberto,Rodrigues da Silva,,Portugal,University of Lisbon,http://isg.inesc-id.pt/alb/,track chair,3,T3
187,181,Ben,Roelens,,Netherlands,"Open Universiteit, Ghent University",https://research.ou.nl/en/persons/ben-roelens-2,PC member,2,T2
188,235,Michael,Rosemann,,Australia,,,PC member,5,T5
189,78,Bruno,Rossi,,Czechia,MASARYK UNIVERSITY,http://www.unlimited2.com,PC member,3,T3
190,182,Francisco,Ruiz,,Spain,University of Castilla la Mancha,http://alarcos.inf-cr.uclm.es/per/fruiz,PC member,2,T2
191,183,Zdenek,Rybola,,Czechia,Czech Technical University,http://ccmi.fit.cvut.cz/about-us/zdenek-rybola/,PC member,3,T3
192,15,Kurt,Sandkuhl,,Germany,The University of Rostock,,PC member,7,T7
193,184,Rodrigo,Santos,,Brazil,UNIRIO,https://orcid.org/0000-0003-4749-2551,PC member,6,T6
194,236,Salma,Sassi,,France,LIUPPA,,PC member,5,T5
195,185,Gordana,Savic,,Serbia,Faculty of Organizational Sciences,,PC member,4,T4
196,79,Eva-Maria,Schön,,Germany,University of Applied Sciences Emden/Leer,https://www.hs-emden-leer.de/en/,PC member,3,T3
197,186,Bran,Selic,,Canada,Malina Software Corp.,,PC member,2,T2
198,187,Mali,Senapathi,,New Zealand,Auckland University of Technology,,PC member,3,T3
199,188,Dongwan,Shin,,United States,New Mexico Tech,,PC member,1,T1
200,189,Jose Luis,Sierra,,Spain,Universidad Complutense de Madrid,http://ilsa.fdi.ucm.es,PC member,6,T6
201,190,Marcin,Sikorski,,Poland,Gdansk University of Technology,,PC member,3,T3
202,237,Gheorghe Cosmin,Silaghi,,Romania,"Babes-Bolyai University, Business Information Systems dept.",https://econ.ubbcluj.ro/cv.php?id=87,PC member,5,T5
203,238,Janice,Sipior,,United States,Villanova University,,PC member,5,T5
204,16,Tomas,Skersys,,Lithuania,,http://www.ktu.lt,PC member,7,T7
205,191,Michal,Smialek,,Poland,Warsaw University of Technology,https://smialek.iem.pw.edu.pl/,PC member,3,T3
206,17,Piotr,Soja,,Poland,Krakow University of Economics,http://piotrsoja.uek.krakow.pl,track chair,7,T7
207,192,Jacopo,Soldani,,Italy,University of Pisa,,PC member,1,T1
208,80,Érica,Souza,,Brazil,UTFPR,,PC member,3,T3
209,193,Maria,Spichkova,,Australia,RMIT University,http://www.spichkova.com,PC member,3,T3
210,194,Janusz,Stal,,Poland,Cracow University of Economics,http://www.uek.krakow.pl,PC member,1,T1
211,195,Odd,Steen,,Sweden,Lund University,,PC member,6,T6
212,18,Janis,Stirna,,Sweden,Stockholm University,,PC member,7,T7
213,81,Diane,Strode,,New Zealand,Whitireia Polytechnic,https://sites.google.com/site/dianestrodepublic/,PC member,3,T3
214,196,Sergey,Stupnikov,,Russia,"Institute of Informatics Problems, Russian Academy of Sciences",http://synthesis.ipi.ac.ru/synthesis/staff/ssa,PC member,4,T4
215,197,Tor,Stålhane,,Norway,Norwegian University of Science and Technology,,PC member,3,T3
216,239,Reima,Suomi,,Finland,,,PC member,5,T5
217,19,Oleg,Svatoš,,Czechia,University of Economics in Prague,http://kit.vse.cz,PC member,7,T7
218,82,Jakub,Swacha,,Poland,University of Szczecin,http://iiwz.wneiz.pl/jakubs/,PC member,3,T3
219,82,Jakub,Swacha,,Poland,,http://iiwz.wneiz.pl/jakubs/,PC member,5,T5
220,198,Piotr,Szczuko,,Poland,Gdansk University of Technology,,PC member,4,T4
221,199,Joanna,Szłapczyńska,,Poland,Gdańsk University of Technology,,PC member,5,T5
222,83,Mary,Sánchez-Gordón,,Norway,Østfold University College,,PC member,3,T3
223,200,Davide,Taibi,,Italy,University of Oulu,,PC member,1,T1
224,201,Marzieh,Talebpour,,United Kingdom,University of Westminster,,PC member,2,T2
225,202,Torben,Tambo,,Denmark,Aarhus University,www.hih.au.dk,PC member,6,T6
226,84,Adel,Taweel,,United Kingdom,King’s College London/Birzeit University,,PC member,3,T3
227,203,Rainer,Telesko,,Switzerland,University of Applied Sciences Northwestern Switzerland,,PC member,2,T2
228,204,Sven,Theobald,,Germany,Fraunhofer IESE,,PC member,3,T3
229,205,Paul,Townend,,Sweden,Umeå University,,PC member,1,T1
230,206,Nikolaos,Tselikas,,Greece,University of Peloponnese,,PC member,6,T6
231,207,Konstantinos,Tsilionis,,Netherlands,Eindhoven University of Technology,,PC member,3,T3
232,85,Doruk,Tuncel,,Germany,Siemens AG,,PC member,3,T3
233,86,Wilfrid,Utz,,Germany,OMILAB gGmbH,https://www.omilab.org,PC member,3,T3
234,208,Polyxeni,Vassilakopoulou,,Norway,University of Agder,,PC member,7,T7
235,209,Jan,Verelst,,Belgium,University of Antwerp,https://www.uantwerpen.be/en/staff/jan-verelst/,PC member,2,T2
236,240,Catalin,Vrabie,,,,,PC member,5,T5
237,87,Valentino,Vranić,,Slovakia,Slovak University of Technology in Bratislava,http://fiit.sk/~vranic/,PC member,3,T3
238,210,Yves,Wautelet,,Belgium,Katholieke Universiteit Leuven,,PC member,2,T2
239,210,Yves,Wautelet,,Belgium,Katholieke Universiteit Leuven,,PC member,3,T3
240,211,Hans,Weigand,,Netherlands,Tilburg University,,PC member,2,T2
241,212,Heinz Roland,Weistroffer,,United States,Virginia Commonwealth University,http://www.weistroffer.net,PC member,7,T7
242,213,Alicja,Wieczorkowska,,Poland,Polish-Japanese Institute of Information Technology,,PC member,4,T4
243,214,Dominique,Winter,,Germany,HS Emden/Leer,http://www.designik.de,PC member,3,T3
244,215,Guido,Wirtz,,Germany,University of Bamberg,http://www.uni-bamberg.de/en/pi/team/wirtz-guido/,PC member,1,T1
245,216,Bogdan,Wiszniewski,,Poland,Gdansk University of Technology,http://www.eti.pg.gda.pl,PC member,5,T5
246,88,Robert,Wrembel,,Poland,"Poznan Unviersity of Technology, Institute of Computing Science",http://www.cs.put.poznan.pl/rwrembel,PC member,4,T4
247,241,Konrad,Wrona,,Netherlands,NATO Communications and Information Agency,,PC member,5,T5
248,217,Michał Ryszard,Wróbel,,Poland,Gdansk University of Technology,,PC member,4,T4
249,217,Michał Ryszard,Wróbel,,Poland,Gdansk University of Technology,,PC member,6,T6
250,242,Jarosław,Wątróbski,,Poland,"West Pomeranian University of Technology, Szczecin Department of Computer Science and Information Technology",,PC member,5,T5
251,218,Jorge,Yero Salazar,,United States,Baylor University,,PC member,1,T1
252,219,Daniela,Zaharie,,Romania,West University of Timisoara,http://www.info.uvt.ro/~dzaharie,PC member,4,T4
253,243,Andrew,Zaliwski,,New Zealand,Whitireia NZ,http://whitireia.ac.nz,PC member,5,T5
254,220,Eftim,Zdravevski,,Macedonia,"University ""Ss.Cyril and Methodius"" Faculty Of Computer Science and Engineering",http://www.finki.ukim.mk,PC member,4,T4
255,89,Zheying,Zhang,,Finland,"Faculty of Information Technology and Communication Sciences, Tampere University",,PC member,3,T3
256,221,Beata,Zielosko,,Poland,"Univeristy of Sielsia, Institute  of Computer Science",http://zsi.tech.us.edu.pl/~bzielosko,PC member,4,T4
257,244,Iryna,Zolotaryova,,Ukraine,Simon Kuznets Kharkiv National University of Economics,http://www.ei.ksue.edu.ua/,PC member,5,T5
258,21,Algirdas,Šukys,,Lithuania,,,PC member,7,T7
